UsgsGaugeId,RiverName
208062765,Roanoke
2101726,Rocky (Cape Fear Trib)
2126000,Rocky (Pee Dee trib)
3446000,South Fork Mills River
2118000,South Yadkin
3453000,Spring Creek
3512000,Straight Fork
3451000,Swannanoa
3439000,Tanasee Creek
2081500,Tar
2082585,Tar
3463300,"Toe, South"
3465500,Toe
3510577,Tuckasegee
3513000,Tuckasegee
3479000,Watauga
2140991,Wilson Creek
2111000,Yadkin
2112000,Yadkin
2112250,Yadkin
2116500,Yadkin
351706800,Yellow Creek
5099400,Little South Pembina
5099600,Pembina
5054000,Red River of the North
6775900,Dismal
6461500,Niobrara
1137500,Ammonoosuc
1053500,Androscoggin
1157000,Ashuelot
1161000,Ashuelot
1076000,"Baker, S. Branch"
1076000,Baker
1064801,Bearcamp
1087000,Blackwater
1161000,Broad Brook
1075000,Cascade Brook
1072800,Cocheco
1129200,Connecticut
1144500,Connecticut
1085000,"Contoocook, N. Branch"
1082000,Contoocook
1085000,Contoocook
1152500,Croyden Brook
1052500,Diamond River
1075000,Dry
1078000,Fowler
1077400,Halls Brook
1072870,Isinglass
1073500,Lamprey
1081500,Merrimack
1092000,Merrimack
1096500,Nashua
1158600,Otter Brook
1074520,"Pemigewasset, East Branch"
1074520,"Pemigewasset, Hancock Branch"
1075000,"Pemigewasset, North Fork."
1075000,Pemigewasset
1076500,Pemigewasset
1090800,"Piscataquog, North Branch"
1091500,Piscataquog
1076000,Pond Brook
10642505,Saco
1064500,Saco
10642505,Sawyer
1078000,Smith
1089100,Soucook
1093852,Souhegan
1094000,Souhegan
1093852,Stony Brook
1152500,Sugar
1089100,Suncook
1086000,Warner
1081000,Winnipesaukee
1064801,Wonalancet
1463500,Delaware
1399500,Lamington
1455500,Musconetcong
1443500,Paulins Kill
1382500,Pequannock
1445500,Pequest
1386000,Posts Creek
1398500,"Raritan, N. Branch"
1396500,"Raritan, S. Branch"
1399670,Rockaway Creek
1380450,Rockaway
1383500,Wanaque
1386000,West Brook
9364500,Animas
7211500,Canadian
7207000,Cimarron
9431500,Gila
8324000,Jemez
7216500,Mora
8379500,Pecos
8265000,Red River
8284100,Rio Chama
8286500,Rio Chama
8287000,Rio Chama
8263500,Rio Grande
8276500,Rio Grande
8313000,Rio Grande
8324000,Rio Guadalupe
8289000,Rio Ojo Caliente
8276300,Rio Pueblo de Taos
8291000,Rio Santa Cruz
9444000,San Francisco
9368000,San Juan
13161500,"Bruneau, West Fork"
10311000,Carson River
13162225,"Jarbidge, East Fork"
13162225,"Jarbidge, West Fork"
13175100,Owyhee
10347460,Truckee
10348000,Truckee
10351700,Truckee
1330000,Anthony Kill
4275000,"Ausable, E. Branch"
4275500,"Ausable, W. Branch"
4275500,Ausable
1315500,Balm of Gilead Brook
1197000,Bash Bish Brook
1349950,Basic Creek
1413500,Batavia Kill (Delaware tributary)
1349950,Batavia Kill (Schoharie Cr. Tributary)
1329490,Batten Kill
1350080,Bear Kill
1420500,Beaver Kill (Delaware tributary)
1362500,Beaver Kill (Hudson tributary)
4213500,Beaver Meadow Creek
1321000,Beecher Creek
1367500,"Beer Kill, W. Branch"
1367500,Beer Kill
4275500,Black Brook
4252500,"Black, S. Branch"
4252500,Black
4260500,Black
4262500,Bog
4262500,Boland Creek
4275000,"Boquet, N. Branch"
4275000,"Boquet, S. Branch"
4275000,Boquet
1315500,Boreas
1362500,Bowery Creek
1507000,Bowman Creek
1315500,"Branch, The (Boquet trib.)"
1317000,"Branch, The (Schroon trib.)"
1413398,Bush Kill
4244000,Butternut Creek
1427500,"Callicoon Creek, E. Branch"
1427500,"Callicoon Creek, N. Branch"
4213500,Canadaway Creek
1349150,Canajoharie Creek
4235000,Canandaigua Outlet
4224775,Canaseraga Creek
1525500,Canisteo
1321000,Caroga Creek
4233286,Cascadilla Creek
1350080,Catskill Creek
1362500,Catskill Creek
4213500,"Cattaraugus Creek, S. Branch"
4213500,Cattaraugus Creek
4233255,Cayuta Creek
4215500,"Cazenovia Creek, W. Branch"
4215500,"Cazenovia Creek, W.Branch"
1315500,Cedar
4271500,Chateaugay
4213075,Chautauqua Creek
4244000,Chittenango Creek
4256000,Cincinnati Creek
1361000,Claverack Creek
4213500,"Clear Creek, N. Br."
1351500,Cobleskill Creek
1315500,Cold
4228500,Conesus Creek
1321000,County Line Brook
1367500,Coxing Kill
1375000,Croton
4256000,Crystal Creek
4242500,Deer (Black trib.)
4268800,Deer (St. Lawrence trib.)
1315500,Deer Creek (Hudson Trib.)
1413500,"Delaware, E. Branch"
1422500,"Delaware, Little Delaware"
1421900,"Delaware, W. Branch"
1428500,Delaware
1321000,Doig Creek
1413408,Dry Brook
1321000,Dunning Creek
1321000,East Canada Creek
1349700,East Kill (Schoharie Creek trib)
1315500,East Stony Creek
4215500,"Eighteenmile Creek, S. Br."
4215500,Eighteenmile Creek
1321000,Elbow Creek
4218518,Ellicott Creek
4262500,Elm Creek
1362200,Esopus Creek
1362500,Esopus Creek
1364500,Esopus Creek
4234000,Fall Creek
4242500,"Fish Creek, E. Branch"
1372500,Fishkill Creek
4235250,Flint Creek
1350080,Fox Creek
4223000,Genesee
1321000,Georgia Brook
1315500,Glen Creek
4262500,"Grass, Lower S. Branch"
4262500,"Grass, Middle Branch"
4262500,"Grass, N. Branch"
4262500,"Grass, Upper South Branch"
4262500,Grass
4271500,"Great Chazy, North Branch"
4271500,Great Chazy
423401815,Great Gully Creek
1317000,Hague Brook
1359528,Hannacrois Creek
1321000,Holmes Lake Outlet
4229500,Honeoye Creek
1334500,Hoosic
1312000,Hudson
1315500,Hudson
1327750,Hudson
4256000,Independence River
4256000,Independence
1315000,Indian (Hudson trib.)
4254500,Indian (S.Br. Moose trib.)
4262500,Island Branch
4262500,Jenny Creek
1321000,Jimmy Creek
4275000,John's Brook
4268800,Jordan
1362500,Kaaterskill Creek
4224775,Keshequa Creek
4232482,Keuka Outlet
1361000,Kinderhook Creek
1349700,Kiskatom Creek
1361000,Kline Kill
1421900,Kortright Creek
4268800,Lake Ozonia Outlet
4244000,Limestone Creek
4275000,Little Black Brook
4252500,Little Black Creek
4213075,Little Chautauqua Creek
4268800,Little Trout
4252500,Little Woodhull Creek
4262500,Little
4242500,Mad River
4271500,Marble
4268800,Meacham Lake Outlet
4280450,Mettawee
1414500,Mill Brook
1317000,Mill Creek (Essex County)
1315500,Mill Creek (Hudson trib.)
4256000,Mill Creek (Lewis County)
1357500,Mohawk
4242500,Mohawk
1367500,Mombaccus Creek
1433500,Mongaup
