UsgsGaugeId,RiverSection
12304500,Yaak
06191500,Yellowstone
06214500,Yellowstone
03550000,Alarka Creek
02113850,Ararat
02068500,Big Creek (Stokes Co.)
03512000,Big Creek
03453000,Big Laurel Creek
03479000,Boone Fork
02151500,Broad
03453000,Brush Creek
02102192,Buckhorn Creek
209553650,Buffalo Creek (Guilford Co.)
02111180,Buffalo Creek
02102500,Cape Fear
03500240,Cartoogechaye
03460000,Cataloochee Creek
02137727,Catawba
02138520,Catawba
351706800,Cheoah
208726005,Crabtree Creek (Umstead State Park)
02068500,Dan
02071000,Dan
03441000,Davidson
02100500,Deep
02102000,Deep
02111180,Elk Creek
03479000,Elk
02085000,Eno
02085070,Eno
03504000,Fires Creek
02152100,First Broad
02085500,Flat
03439000,"French Broad, North Fork"
03439000,"French Broad, West Fork"
03451500,French Broad
03453500,French Broad
02096960,Haw
03455500,Hominy Creek
02140991,Johns
03460000,Jonathans Creek
02138500,Linville
02102908,Little (Cape Fear trib)
208521324,Little (Eno trib)
03441000,Little (Fr.Broad trib)
02081500,Little Fishing Creek
03503000,Little Tennessee
03441000,Looking Glass Creek
02070500,"Mayo, N. Fork"
02069700,"Mayo, S. Fork"
03504000,Nantahala
03505550,Nantahala
02087183,Neuse
02096846,New Hope Creek
03161000,"New, S. Fork"
03164000,New
03465500,Nolichucky
03441000,North Pacolet
03463300,North Toe
03512000,Oconaluftee
03456500,"Pigeon, Big East Fork"
03456500,"Pigeon, East Fork"
03455500,"Pigeon, West Fork"
03459500,Pigeon
03460795,Pigeon
03512000,Raven Fork
02111500,Reddies
02094500,Reedy Fork Creek
208062765,Roanoke
02101726,Rocky (Cape Fear Trib)
02126000,Rocky (Pee Dee trib)
03446000,South Fork Mills River
02118000,South Yadkin
03453000,Spring Creek
03512000,Straight Fork
03451000,Swannanoa
03439000,Tanasee Creek
02081500,Tar
02082585,Tar
03463300,"Toe, South"
03465500,Toe
03510577,Tuckasegee
03513000,Tuckasegee
03479000,Watauga
02140991,Wilson Creek
02111000,Yadkin
02112000,Yadkin
02112250,Yadkin
02116500,Yadkin
351706800,Yellow Creek
05099400,Little South Pembina
05099600,Pembina
05054000,Red River of the North
06775900,Dismal
06461500,Niobrara
01137500,Ammonoosuc
01053500,Androscoggin
01157000,Ashuelot
01161000,Ashuelot
01076000,"Baker, S. Branch"
01076000,Baker
01064801,Bearcamp
01087000,Blackwater
01161000,Broad Brook
01075000,Cascade Brook
01072800,Cocheco
01129200,Connecticut
01144500,Connecticut
01085000,"Contoocook, N. Branch"
01082000,Contoocook
01085000,Contoocook
01152500,Croyden Brook
01052500,Diamond River
01075000,Dry
01078000,Fowler
01077400,Halls Brook
01072870,Isinglass
01073500,Lamprey
01081500,Merrimack
01092000,Merrimack
01096500,Nashua
01158600,Otter Brook
01074520,"Pemigewasset, East Branch"
01074520,"Pemigewasset, Hancock Branch"
01075000,"Pemigewasset, North Fork."
01075000,Pemigewasset
01076500,Pemigewasset
01090800,"Piscataquog, North Branch"
01091500,Piscataquog
01076000,Pond Brook
10642505,Saco
01064500,Saco
10642505,Sawyer
01078000,Smith
01089100,Soucook
01093852,Souhegan
01094000,Souhegan
01093852,Stony Brook
01152500,Sugar
01089100,Suncook
01086000,Warner
01081000,Winnipesaukee
01064801,Wonalancet
01463500,Delaware
01399500,Lamington
01455500,Musconetcong
01443500,Paulins Kill
01382500,Pequannock
01445500,Pequest
01386000,Posts Creek
01398500,"Raritan, N. Branch"
01396500,"Raritan, S. Branch"
01399670,Rockaway Creek
01380450,Rockaway
01383500,Wanaque
01386000,West Brook
09364500,Animas
07211500,Canadian
07207000,Cimarron
09431500,Gila
08324000,Jemez
07216500,Mora
08379500,Pecos
08265000,Red River
08284100,Rio Chama
